Record,Type,Subpopulation,Indicator,Metric Category,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
723,WSA9_Ecoregions,NPL,Acidification,Chemical,Good,76,100,0,100,100,2740.474884,381.9004724,1991.963713,3488.986056
724,WSA9_Ecoregions,NPL,Acidification,Chemical,Total,76,100,0,100,100,2740.474884,381.9004724,1991.963713,3488.986056
725,WSA9_Ecoregions,SAP,Acidification,Chemical,Good,89,100,0,100,100,9075.614894,1449.390152,6234.862396,11916.36739
726,WSA9_Ecoregions,SAP,Acidification,Chemical,Total,89,100,0,100,100,9075.614894,1449.390152,6234.862396,11916.36739
727,WSA9_Ecoregions,SPL,Acidification,Chemical,Good,90,100,0,100,100,7734.11089,1882.851019,4043.790704,11424.43108
728,WSA9_Ecoregions,SPL,Acidification,Chemical,Total,90,100,0,100,100,7734.11089,1882.851019,4043.790704,11424.43108
729,WSA9_Ecoregions,TPL,Acidification,Chemical,Good,149,99.65968574,0.303254829,99.0653172,100,15056.72103,2275.811785,10596.21189,19517.23016
730,WSA9_Ecoregions,TPL,Acidification,Chemical,Poor-Acid_Mine,1,0.340314256,0.303254829,0,0.934682798,51.41514122,44.3291103,0,138.2986009
731,WSA9_Ecoregions,TPL,Acidification,Chemical,Total,150,100,0,100,100,15108.13617,2270.574627,10657.89168,19558.38066
732,WSA9_Ecoregions,UMW,Acidification,Chemical,Good,145,100,0,100,100,26306.56298,3334.900442,19770.27822,32842.84773
733,WSA9_Ecoregions,UMW,Acidification,Chemical,Total,145,100,0,100,100,26306.56298,3334.900442,19770.27822,32842.84773
734,WSA9_Ecoregions,WMT,Acidification,Chemical,Good,166,97.65092959,1.24750922,95.20585645,100,7921.422563,1334.355252,5306.134327,10536.7108
735,WSA9_Ecoregions,WMT,Acidification,Chemical,Fair-Low_ANC_Dep,2,1.211992862,0.87571255,0,2.92835792,98.31660225,69.60752049,0,234.7448355
736,WSA9_Ecoregions,WMT,Acidification,Chemical,Natural_Organic_Acid,1,1.137077549,0.858874789,0,2.820441203,92.23948803,68.64225556,0,226.7758367
737,WSA9_Ecoregions,WMT,Acidification,Chemical,Total,169,100,0,100,100,8111.978653,1335.563532,5494.322232,10729.63507
738,WSA9_Ecoregions,XER,Acidification,Chemical,Good,94,100,0,100,100,2179.507587,348.979118,1495.521084,2863.494089
739,WSA9_Ecoregions,XER,Acidification,Chemical,Total,94,100,0,100,100,2179.507587,348.979118,1495.521084,2863.494089
740,WSA9_by_Lake_Origin,CPL_MAN_MADE,Acidification,Chemical,Good,96,99.07297152,0.667619594,97.76446116,100,18208.7916,2693.973851,12928.69988,23488.88333
741,WSA9_by_Lake_Origin,CPL_MAN_MADE,Acidification,Chemical,Fair-Low_ANC_Dep,1,0.791688804,0.652744582,0,2.071044675,145.505845,118.1239529,0,377.0245383
742,WSA9_by_Lake_Origin,CPL_MAN_MADE,Acidification,Chemical,Poor-Acid_Mine,1,0.135339675,0.119515372,0,0.3695855,24.8743113,21.55014767,0,67.11182461
743,WSA9_by_Lake_Origin,CPL_MAN_MADE,Acidification,Chemical,Total,98,100,0,100,100,18379.17176,2690.975356,13104.95698,23653.38654
744,WSA9_by_Lake_Origin,CPL_NATURAL,Acidification,Chemical,Good,24,74.57381676,11.84099386,51.36589525,97.78173827,4883.983189,1290.653092,2354.349612,7413.616766
745,WSA9_by_Lake_Origin,CPL_NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,3,22.97978441,11.56509686,0.312611092,45.64695774,1504.990433,895.5290325,0,3260.195083
746,WSA9_by_Lake_Origin,CPL_NATURAL,Acidification,Chemical,Natural_Organic_Acid,1,2.446398824,2.345622361,0,7.043734174,160.2193806,143.1987693,0,440.883811
747,WSA9_by_Lake_Origin,CPL_NATURAL,Acidification,Chemical,Total,28,100,0,100,100,6549.193002,1514.696002,3580.44339,9517.942614
748,WSA9_by_Lake_Origin,NAP_MAN_MADE,Acidification,Chemical,Good,32,96.25776235,2.440182871,91.47509181,100,3803.37389,723.0819058,2386.159397,5220.588384
749,WSA9_by_Lake_Origin,NAP_MAN_MADE,Acidification,Chemical,Fair-Low_ANC_Dep,2,3.742237647,2.440182871,0,8.524908189,147.8647395,91.7376828,0,327.6672938
750,WSA9_by_Lake_Origin,NAP_MAN_MADE,Acidification,Chemical,Total,34,100,0,100,100,3951.23863,714.1339428,2551.561822,5350.915438
751,WSA9_by_Lake_Origin,NAP_NATURAL,Acidification,Chemical,Good,61,93.43302306,4.1850438,85.23048794,100,10915.57199,3492.313632,4070.763054,17760.38094
752,WSA9_by_Lake_Origin,NAP_NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,2,5.044859835,3.864697422,0,12.61952759,589.3797389,406.2305902,0,1385.577065
753,WSA9_by_Lake_Origin,NAP_NATURAL,Acidification,Chemical,Natural_Organic_Acid,2,1.522117107,1.032068621,0,3.544934435,177.8255517,108.8134538,0,391.0960021
